serial,start_sample,end_sample
32949265,71485726,71485957
32949266,71487236,71487467
32949267,71488745,71488976
32949268,71490254,71490485
32949269,71491764,71491995
32949270,71493273,71493504
32949271,71494783,71495014
32949272,71496293,71496524
32949273,71497802,71498033
32949274,71499312,71499543
32949275,71500822,71501053
32949276,71502331,71502562
32949277,71503841,71504072
32949278,71505350,71505581
32949279,71506859,71507090
32949280,71508369,71508600
32949281,71509879,71510110
32949282,71511389,71511620
32949283,71512898,71513129
32949284,71514407,71514638
32949285,71515917,71516148
32949286,71517426,71517657
32949287,71518935,71519166
32949288,71520445,71520676
32949289,71521954,71522185
32949290,71523463,71523694
32949291,71524973,71525204
32949292,71526482,71526713
32949293,71527992,71528223
32949294,71529502,71529733
32949295,71531011,71531242
32949296,71532521,71532752
32949297,71534030,71534261
32949298,71535539,71535770
32949299,71537049,71537280
32949300,71538559,71538790
32949301,71540068,71540299
32949302,71541578,71541809
32949303,71543087,71543318
32949304,71544597,71544828
32949305,71546106,71546337
32949306,71547616,71547847
32949307,71549126,71549357
32949308,71550634,71550865
32949309,71552144,71552375
32949310,71553653,71553884
32949311,71555163,71555394
32949312,71556673,71556904
32949313,71558182,71558413
32949314,71559691,71559922
32949315,71561201,71561432
32949316,71562711,71562942
32949317,71564220,71564451
32949318,71565730,71565961
32949319,71567238,71567469
32949320,71568747,71568978
32949321,71570257,71570488
32949322,71571766,71571997
32949323,71573276,71573507
32949324,71574786,71575017
32949325,71576294,71576525
32949326,71577804,71578035
32949327,71579314,71579545
32949328,71580823,71581054
32949329,71582333,71582564
32949330,71583842,71584073
32949331,71585351,71585582
32949332,71586861,71587092
32949333,71588371,71588602
32949334,71589880,71590111
32949335,71591390,71591621
32949336,71592899,71593130
32949337,71594408,71594639
32949338,71595918,71596149
32949339,71597426,71597657
32949340,71598936,71599167
32949341,71600446,71600677
32949342,71601956,71602187
32949343,71603466,71603697
32949344,71604975,71605206
32949345,71606485,71606716
32949346,71607994,71608225
32949347,71609503,71609734
32949348,71611013,71611244
32949349,71612522,71612753
32949350,71614031,71614262
32949351,71615541,71615772
32949352,71617049,71617280
32949353,71618559,71618790
32949354,71620069,71620300
32949355,71621578,71621809
32949356,71623088,71623319
32949357,71624597,71624828
32949358,71626105,71626336
32949359,71627615,71627846
32949360,71629124,71629355
32949361,71630633,71630864
32949362,71632143,71632374
32949363,71633652,71633883
32949364,71635163,71635394
32949365,71636672,71636903
32949366,71638181,71638412
32949367,71639691,71639922
32949368,71641200,71641431
32949369,71642709,71642940
32949370,71644219,71644450
32949371,71645728,71645959
32949372,71647237,71647468
32949373,71648747,71648978
32949374,71650257,71650488
32949375,71651767,71651998
32949376,71653276,71653507
32949377,71654785,71655016
32949378,71656294,71656525
32949379,71657804,71658035
32949380,71659312,71659543
32949381,71660822,71661053
32949382,71662331,71662562
32949383,71663841,71664072
32949384,71665351,71665582
32949385,71666860,71667091
32949386,71668370,71668601
32949387,71669879,71670110
32949388,71671388,71671619
32949389,71672898,71673129
32949390,71674407,71674638
32949391,71675916,71676147
32949392,71677425,71677656
32949393,71678934,71679165
32949394,71680444,71680675
32949395,71681954,71682185
32949396,71683463,71683694
32949397,71684973,71685204
32949398,71686482,71686713
32949399,71687991,71688222
32949400,71689501,71689732
32949401,71691009,71691240
32949402,71692518,71692749
32949403,71694028,71694259
32949404,71695537,71695768
32949405,71697047,71697278
32949406,71698557,71698788
32949407,71700066,71700297
32949408,71701576,71701807
32949409,71703086,71703317
32949410,71704595,71704826
32949411,71706105,71706336
32949412,71707614,71707845
32949413,71709123,71709354
32949414,71710633,71710864
32949415,71712143,71712374
32949416,71713652,71713883
32949417,71715161,71715392
32949418,71716671,71716902
32949419,71718180,71718411
32949420,71719690,71719921
32949421,71721199,71721430
32949422,71722709,71722940
32949423,71724218,71724449
32949424,71725728,71725959
32949425,71727238,71727469
32949426,71728747,71728978
32949427,71730257,71730488
32949428,71731765,71731996
32949429,71733274,71733505
32949430,71734784,71735015
32949431,71736293,71736524
32949432,71737802,71738033
32949433,71739312,71739543
32949434,71740821,71741052
32949435,71742331,71742562
32949436,71743840,71744071
32949437,71745350,71745581
32949438,71746860,71747091
32949439,71748368,71748599
32949440,71749878,71750109
32949441,71751388,71751619
32949442,71752896,71753127
32949443,71754406,71754637
32949444,71755916,71756147
32949445,71757424,71757655
32949446,71758934,71759165
32949447,71760444,71760675
32949448,71761953,71762184
32949449,71763463,71763694
32949450,71764972,71765203
32949451,71766480,71766711
32949452,71767990,71768221
32949453,71769499,71769730
32949454,71771008,71771239
32949455,71772518,71772749
32949456,71774027,71774258
32949457,71775537,71775768
32949458,71777047,71777278
32949459,71778557,71778788
32949460,71780066,71780297
32949461,71781576,71781807
32949462,71783084,71783315
32949463,71784594,71784825
32949464,71786103,71786334
32949465,71787612,71787843
32949466,71789122,71789353
32949467,71790632,71790863
32949468,71792142,71792373
32949469,71793651,71793882
32949470,71795161,71795392
32949471,71796671,71796902
32949472,71798180,71798411
32949473,71799689,71799920
32949474,71801199,71801430
32949475,71802708,71802939
32949476,71804218,71804449
32949477,71805728,71805959
32949478,71807237,71807468
32949479,71808747,71808978
32949480,71810256,71810487
32949481,71811764,71811995
32949482,71813274,71813505
32949483,71814783,71815014
32949484,71816292,71816523
32949485,71817802,71818033
32949486,71819310,71819541
