serial,start_sample,end_sample
32896748,886760,886991
32896749,888268,888499
32896750,889778,890009
32896751,891287,891518
32896752,892797,893028
32896753,894307,894538
32896754,895816,896047
32896755,897326,897557
32896756,898835,899066
32896757,900344,900575
32896758,901854,902085
32896759,903363,903594
32896760,904873,905104
32896761,906382,906613
32896762,907891,908122
32896763,909401,909632
32896764,910910,911141
32896765,912420,912651
32896766,913930,914161
32896767,915439,915670
32896768,916948,917179
32896769,918458,918689
32896770,919967,920198
32896771,921477,921708
32896772,922986,923217
32896773,924496,924727
32896774,926006,926237
32896775,927515,927746
32896776,929024,929255
32896777,930534,930765
32896778,932043,932274
32896779,933553,933784
32896780,935063,935294
32896781,936572,936803
32896782,938082,938313
32896783,939591,939822
32896784,941101,941332
32896785,942611,942842
32896786,944120,944351
32896787,945629,945860
32896788,947139,947370
32896789,948648,948879
32896790,950158,950389
32896791,951667,951898
32896792,953177,953408
32896793,954687,954918
32896794,956196,956427
32896795,957705,957936
32896796,959215,959446
32896797,960724,960955
32896798,962234,962465
32896799,963744,963975
32896800,965253,965484
32896801,966763,966994
32896802,968272,968503
32896803,969782,970013
32896804,971292,971523
32896805,972801,973032
32896806,974310,974541
32896807,975820,976051
32896808,977329,977560
32896809,978839,979070
32896810,980348,980579
32896811,981857,982088
32896812,983367,983598
32896813,984876,985107
32896814,986386,986617
32896815,987895,988126
32896816,989405,989636
32896817,990915,991146
32896818,992424,992655
32896819,993934,994165
32896820,995443,995674
32896821,996952,997183
32896822,998461,998692
32896823,999971,1000202
32896824,1001480,1001711
32896825,1002990,1003221
32896826,1004498,1004729
32896827,1006008,1006239
32896828,1007517,1007748
32896829,1009027,1009258
32896830,1010537,1010768
32896831,1012046,1012277
32896832,1013556,1013787
32896833,1015065,1015296
32896834,1016575,1016806
32896835,1018084,1018315
32896836,1019593,1019824
32896837,1021103,1021334
32896838,1022613,1022844
32896839,1024122,1024353
32896840,1025632,1025863
32896841,1027141,1027372
32896842,1028651,1028882
32896843,1030160,1030391
32896844,1031669,1031900
32896845,1033179,1033410
32896846,1034689,1034920
32896847,1036197,1036428
32896848,1037706,1037937
32896849,1039215,1039446
32896850,1040725,1040956
32896851,1042234,1042465
32896852,1043744,1043975
32896853,1045254,1045485
32896854,1046763,1046994
32896855,1048272,1048503
32896856,1049782,1050013
32896857,1051291,1051522
32896858,1052801,1053032
32896859,1054311,1054542
32896860,1055820,1056051
32896861,1057330,1057561
32896862,1058839,1059070
32896863,1060349,1060580
32896864,1061859,1062090
32896865,1063368,1063599
32896866,1064878,1065109
32896867,1066388,1066619
32896868,1067897,1068128
32896869,1069407,1069638
32896870,1070916,1071147
32896871,1072425,1072656
32896872,1073935,1074166
32896873,1075444,1075675
32896874,1076954,1077185
32896875,1078462,1078693
32896876,1079972,1080203
32896877,1081482,1081713
32896878,1082991,1083222
32896879,1084501,1084732
32896880,1086011,1086242
32896881,1087520,1087751
32896882,1089029,1089260
32896883,1090539,1090770
32896884,1092048,1092279
32896885,1093558,1093789
32896886,1095068,1095299
32896887,1096577,1096808
32896888,1098087,1098318
32896889,1099596,1099827
32896890,1101105,1101336
32896891,1102615,1102846
32896892,1104124,1104355
32896893,1105633,1105864
32896894,1107142,1107373
32896895,1108651,1108882
32896896,1110161,1110392
32896897,1111671,1111902
32896898,1113180,1113411
32896899,1114690,1114921
32896900,1116199,1116430
32896901,1117709,1117940
32896902,1119218,1119449
32896903,1120728,1120959
32896904,1122237,1122468
32896905,1123747,1123978
32896906,1125256,1125487
32896907,1126766,1126997
32896908,1128275,1128506
32896909,1129785,1130016
32896910,1131294,1131525
32896911,1132804,1133035
32896912,1134313,1134544
32896913,1135823,1136054
32896914,1137332,1137563
4210804736,1138796,1139027
65535,1139899,1140130
32896960,1140999,1141230
32896976,1142509,1142740
32896977,1144018,1144249
32896978,1145528,1145759
32896979,1147037,1147268
32896980,1148546,1148777
32896981,1150056,1150287
32896982,1151565,1151796
32896983,1153075,1153306
32896984,1154585,1154816
32896985,1156094,1156325
32896986,1157604,1157835
32896987,1159113,1159344
32896988,1160622,1160853
32896989,1162132,1162363
32896990,1163642,1163873
32896991,1165151,1165382
32896992,1166661,1166892
32896993,1168169,1168400
32896994,1169680,1169911
32896995,1171189,1171420
32896996,1172698,1172929
32896997,1174208,1174439
32896998,1175718,1175949
32896999,1177227,1177458
32897000,1178737,1178968
32897001,1180246,1180477
32897002,1181756,1181987
32897003,1183266,1183497
32897004,1184774,1185005
32897005,1186284,1186515
32897006,1187794,1188025
32897007,1189303,1189534
32897008,1190813,1191044
32897009,1192322,1192553
32897010,1193831,1194062
32897011,1195341,1195572
32897012,1196850,1197081
32897013,1198360,1198591
32897014,1199870,1200101
32897015,1201379,1201610
32897016,1202889,1203120
32897017,1204398,1204629
32897018,1205907,1206138
32897019,1207417,1207648
32897020,1208926,1209157
32897021,1210436,1210667
32897022,1211946,1212177
32897023,1213456,1213687
32897024,1214965,1215196
32897025,1216475,1216706
32897026,1217984,1218215
32897027,1219494,1219725
32897028,1221002,1221233
32897029,1222512,1222743
32897030,1224022,1224253
32897031,1225531,1225762
32897032,1227041,1227272
32897033,1228551,1228782
32897034,1230060,1230291
32897035,1231570,1231801
32897036,1233078,1233309
32897037,1234587,1234818
32897038,1236097,1236328
32897039,1237606,1237837
32897040,1239114,1239345
32897041,1240624,1240855
32897042,1242133,1242364
32897043,1243643,1243874
32897044,1245152,1245383
32897045,1246661,1246892
32897046,1248171,1248402
32897047,1249681,1249912
32897048,1251190,1251421
32897049,1252700,1252931
32897050,1254209,1254440
32897051,1255719,1255950
32897052,1257229,1257460
32897053,1258738,1258969
32897054,1260248,1260479
32897055,1261757,1261988
32897056,1263266,1263497
32897057,1264776,1265007
32897058,1266286,1266517
32897059,1267795,1268026
32897060,1269304,1269535
32897061,1270813,1271044
32897062,1272323,1272554
32897063,1273833,1274064
32897064,1275342,1275573
32897065,1276852,1277083
32897066,1278361,1278592
32897067,1279870,1280101
32897068,1281380,1281611
32897069,1282890,1283121
32897070,1284399,1284630
32897071,1285909,1286140
32897072,1287418,1287649
32897073,1288928,1289159
32897074,1290438,1290669
32897075,1291947,1292178
32897076,1293457,1293688
32897077,1294966,1295197
32897078,1296475,1296706
32897079,1297985,1298216
32897080,1299495,1299726
32897081,1301003,1301234
32897082,1302513,1302744
32897083,1304022,1304253
32897084,1305532,1305763
32897085,1307042,1307273
32897086,1308551,1308782
32897087,1310061,1310292
32897088,1311570,1311801
32897089,1313079,1313310
32897090,1314589,1314820
32897091,1316098,1316329
32897092,1317608,1317839
32897093,1319118,1319349
32897094,1320627,1320858
32897095,1322137,1322368
32897096,1323646,1323877
32897097,1325155,1325386
32897098,1326665,1326896
32897099,1328174,1328405
32897100,1329683,1329914
32897101,1331193,1331424
32897102,1332702,1332933
32897103,1334212,1334443
32897104,1335721,1335952
32897105,1337231,1337462
32897106,1338741,1338972
32897107,1340250,1340481
32897108,1341759,1341990
32897109,1343269,1343500
32897110,1344778,1345009
32897111,1346289,1346520
32897112,1347798,1348029
32897113,1349307,1349538
32897114,1350817,1351048
32897115,1352326,1352557
32897116,1353836,1354067
32897117,1355346,1355577
32897118,1356854,1357085
32897119,1358364,1358595
32897120,1359874,1360105
32897121,1361383,1361614
32897122,1362893,1363124
32897123,1364402,1364633
