serial,start_sample,end_sample
32896420,480247,480478
32896420,481756,481987
32896422,483265,483496
32896416,484775,485006
32896424,486284,486515
32896424,487793,488024
32896426,489303,489534
32896424,490812,491043
32896428,492322,492553
32896428,493831,494062
32896422,495340,495571
32896416,496850,497081
32896432,498358,498589
32896432,499867,500098
32896434,501377,501608
32896432,502886,503117
32896436,504395,504626
32896436,505905,506136
32896438,507414,507645
32896432,508924,509155
32896440,510433,510664
32896440,511943,512174
32896442,513452,513683
32896392,514961,515192
32896444,516470,516701
32896396,517980,518211
32896398,519490,519721
32896384,520998,521229
32896448,522507,522738
32896448,524016,524247
32896450,525525,525756
32896448,527034,527265
32896452,528543,528774
32896452,530053,530284
32896454,531562,531793
32896448,533071,533302
32896456,534581,534812
32896456,536091,536322
32896458,537600,537831
32896448,539110,539341
32896460,540619,540850
32896456,542129,542360
32896454,543638,543869
32896448,545148,545379
32896464,546657,546888
32896464,548167,548398
32896466,549676,549907
32896464,551186,551417
32896468,552695,552926
32896468,554205,554436
32896470,555714,555945
32896464,557223,557454
32896472,558733,558964
32896472,560242,560473
32896474,561751,561982
32896456,563261,563492
32896476,564771,565002
32896460,566280,566511
32896536,568257,568488
32896538,569766,569997
32896528,571276,571507
32896540,572786,573017
32896524,574295,574526
32896518,575804,576035
32896512,577314,577545
32896544,578823,579054
32896544,580333,580564
32896546,581842,582073
32896544,583352,583583
32896548,584860,585091
32896548,586370,586601
32896550,587879,588110
32896544,589389,589620
32896552,590898,591129
32896552,592407,592638
32896554,593917,594148
32896544,595427,595658
32896556,596936,597167
32896556,598446,598677
32896558,599956,600187
32896544,601465,601696
32896560,602975,603206
32896560,604484,604715
32896562,605994,606225
32896560,607503,607734
32896564,609012,609243
32896564,610522,610753
32896566,612032,612263
32896528,613541,613772
32896568,615051,615282
32896568,616560,616791
32896570,618070,618301
32896536,619579,619810
32896572,621088,621319
32896524,622598,622829
32896526,624108,624339
32896512,625617,625848
32896576,627127,627358
32896576,628637,628868
32896578,630146,630377
32896576,631656,631887
32896580,633165,633396
32896580,634675,634906
32896582,636184,636415
32896576,637693,637924
32896584,639203,639434
32896584,640713,640944
32896586,642223,642454
32896584,643732,643963
32896588,645242,645473
32896588,646751,646982
32896590,648261,648492
32896576,649770,650001
32896592,651280,651511
32896592,652789,653020
32896594,654299,654530
32896592,655809,656040
32896596,657318,657549
32896596,658828,659059
32896598,660337,660568
32896592,661847,662078
32896600,663356,663587
32896600,664866,665097
32896602,666375,666606
32896600,667885,668116
32896604,669394,669625
32896588,670904,671135
32896590,672413,672644
32896512,673923,674154
32896608,675432,675663
32896608,676942,677173
32896610,678451,678682
32896608,679961,680192
32896612,681470,681701
32896612,682980,683211
32896614,684490,684721
32896608,685999,686230
32896616,687509,687740
32896616,689018,689249
32896618,690528,690759
32896608,692038,692269
32896620,693547,693778
32896620,695056,695287
32896622,696566,696797
32896544,698075,698306
32896624,699585,699816
32896624,701094,701325
32896626,702604,702835
32896624,704114,704345
32896628,705623,705854
32896628,707132,707363
32896630,708642,708873
32896528,710151,710382
32896632,711661,711892
32896632,713170,713401
32896634,714679,714910
32896520,716189,716420
32896636,717698,717929
32896540,719208,719439
32896518,720717,720948
32896512,722227,722458
32896640,723736,723967
32896640,725246,725477
32896642,726755,726986
32896640,728265,728496
32896644,729774,730005
32896644,731284,731515
32896646,732793,733024
32896640,734303,734534
32896648,735812,736043
32896648,737322,737553
32896650,738831,739062
32896648,740341,740572
32896652,741851,742082
32896652,743360,743591
32896654,744870,745101
32896640,746379,746610
32896656,747889,748120
32896656,749398,749629
32896658,750908,751139
32896656,752417,752648
32896660,753927,754158
32896660,755436,755667
32896656,756947,757178
32896656,758456,758687
32896664,759965,760196
32896664,761474,761705
32896666,762984,763215
32896664,764493,764724
32896668,766003,766234
32896652,767512,767743
32896654,769022,769253
32896640,770532,770763
32896672,772041,772272
32896672,773551,773782
32896674,775060,775291
32896672,776570,776801
32896676,778079,778310
32896676,779589,779820
32896672,781097,781328
32896672,782607,782838
32896680,784117,784348
32896680,785626,785857
32896682,787136,787367
32896680,788645,788876
32896684,790155,790386
32896684,791664,791895
32896678,793173,793404
32896672,794683,794914
32896688,796193,796424
32896688,797702,797933
32896690,799212,799443
32896688,800722,800953
32896692,802231,802462
32896692,803741,803972
32896694,805250,805481
32896688,806760,806991
32896696,808269,808500
32896696,809778,810009
32896698,811288,811519
32896648,812797,813028
32896700,814307,814538
32896652,815816,816047
32896654,817325,817556
32896640,818835,819066
32896704,820343,820574
32896704,821853,822084
32896706,823363,823594
32896704,824872,825103
32896708,826381,826612
32896708,827891,828122
32896710,829400,829631
32896704,830911,831142
32896712,832420,832651
32896712,833929,834160
32896714,835439,835670
32896712,836948,837179
32896716,838457,838688
32896716,839967,840198
32896710,841476,841707
32896704,842986,843217
32896720,844496,844727
32896720,846005,846236
32896722,847515,847746
32896720,849024,849255
32896724,850533,850764
32896724,852042,852273
32896726,853552,853783
32896720,855061,855292
32896728,856571,856802
32896728,858080,858311
32896730,859590,859821
32896712,861099,861330
32896732,862609,862840
32896716,864119,864350
32896718,865628,865859
32896640,867137,867368
32896736,868647,868878
32896736,870156,870387
32896738,871665,871896
32896736,873175,873406
32896740,874685,874916
32896740,876195,876426
32896742,877704,877935
32896736,879213,879444
32896744,880722,880953
32896744,882231,882462
32896746,883740,883971
32896736,885250,885481
32896748,886760,886991
32896748,888268,888499
32896750,889778,890009
32896672,891287,891518
32896752,892797,893028
32896752,894307,894538
32896754,895816,896047
32896752,897326,897557
32896756,898835,899066
32896756,900344,900575
32896758,901854,902085
32896656,903363,903594
32896760,904873,905104
32896760,906382,906613
32896762,907891,908122
32896648,909401,909632
32896764,910910,911141
32896700,912420,912651
32896646,913930,914161
32896640,915439,915670
32896768,916948,917179
32896768,918458,918689
32896770,919967,920198
32896768,921477,921708
32896772,922986,923217
32896772,924496,924727
32896774,926006,926237
32896768,927515,927746
32896776,929024,929255
32896776,930534,930765
32896778,932043,932274
32896776,933553,933784
32896780,935063,935294
32896780,936572,936803
32896782,938082,938313
32896768,939591,939822
32896784,941101,941332
32896784,942611,942842
32896786,944120,944351
32896784,945629,945860
32896788,947139,947370
32896788,948648,948879
32896790,950158,950389
32896784,951667,951898
32896792,953177,953408
32896792,954687,954918
32896794,956196,956427
32896776,957705,957936
32896796,959215,959446
32896780,960724,960955
32896782,962234,962465
32896768,963744,963975
32896800,965253,965484
32896800,966763,966994
32896802,968272,968503
32896800,969782,970013
32896804,971292,971523
32896804,972801,973032
32896806,974310,974541
32896800,975820,976051
32896808,977329,977560
32896808,978839,979070
32896810,980348,980579
32896808,981857,982088
32896812,983367,983598
32896812,984876,985107
32896814,986386,986617
32896800,987895,988126
32896816,989405,989636
32896816,990915,991146
32896818,992424,992655
32896816,993934,994165
32896820,995443,995674
32896820,996952,997183
32896822,998461,998692
32896816,999971,1000202
32896824,1001480,1001711
32896824,1002990,1003221
32896824,1004498,1004729
32896784,1006008,1006239
32896828,1007517,1007748
32896780,1009027,1009258
32896774,1010537,1010768
32896768,1012046,1012277
32896832,1013556,1013787
32896832,1015065,1015296
32896834,1016575,1016806
32896832,1018084,1018315
32896836,1019593,1019824
32896836,1021103,1021334
32896838,1022613,1022844
32896832,1024122,1024353
32896840,1025632,1025863
32896840,1027141,1027372
32896842,1028651,1028882
32896840,1030160,1030391
32896844,1031669,1031900
32896844,1033179,1033410
32896846,1034689,1034920
32896832,1036197,1036428
32896848,1037706,1037937
32896848,1039215,1039446
32896850,1040725,1040956
32896848,1042234,1042465
32896852,1043744,1043975
32896852,1045254,1045485
32896854,1046763,1046994
32896848,1048272,1048503
32896856,1049782,1050013
32896856,1051291,1051522
32896858,1052801,1053032
32896856,1054311,1054542
32896860,1055820,1056051
32896844,1057330,1057561
32896838,1058839,1059070
32896768,1060349,1060580
32896864,1061859,1062090
32896864,1063368,1063599
32896866,1064878,1065109
32896864,1066388,1066619
32896868,1067897,1068128
32896864,1069407,1069638
32896870,1070916,1071147
32896864,1072425,1072656
32896872,1073935,1074166
32896872,1075444,1075675
32896874,1076954,1077185
32896872,1078462,1078693
32896876,1079972,1080203
32896876,1081482,1081713
32896870,1082991,1083222
32896768,1084501,1084732
32896880,1086011,1086242
32896880,1087520,1087751
32896882,1089029,1089260
32896880,1090539,1090770
32896884,1092048,1092279
32896884,1093558,1093789
32896886,1095068,1095299
32896816,1096577,1096808
32896888,1098087,1098318
32896888,1099596,1099827
32896890,1101105,1101336
32896776,1102615,1102846
32896892,1104124,1104355
32896780,1105633,1105864
32896774,1107142,1107373
32896768,1108651,1108882
32896896,1110161,1110392
32896896,1111671,1111902
32896898,1113180,1113411
32896896,1114690,1114921
32896900,1116199,1116430
32896900,1117709,1117940
32896902,1119218,1119449
32896896,1120728,1120959
32896904,1122237,1122468
32896904,1123747,1123978
32896906,1125256,1125487
32896904,1126766,1126997
32896908,1128275,1128506
32896908,1129785,1130016
32896902,1131294,1131525
32896896,1132804,1133035
32896912,1134313,1134544
32896912,1135823,1136054
32896914,1137332,1137563
4210804736,1138796,1139027
65535,1139899,1140130
32896960,1140999,1141230
32896976,1142509,1142740
32896976,1144018,1144249
32896978,1145528,1145759
32896976,1147037,1147268
32896980,1148546,1148777
32896980,1150056,1150287
32896982,1151565,1151796
32896976,1153075,1153306
32896984,1154585,1154816
32896984,1156094,1156325
32896986,1157604,1157835
32896968,1159113,1159344
32896988,1160622,1160853
32896972,1162132,1162363
32896966,1163642,1163873
32896896,1165151,1165382
32896992,1166661,1166892
32896992,1168169,1168400
32896994,1169680,1169911
32896992,1171189,1171420
32896996,1172698,1172929
32896996,1174208,1174439
32896998,1175718,1175949
32896992,1177227,1177458
32897000,1178737,1178968
32897000,1180246,1180477
32897002,1181756,1181987
32896992,1183266,1183497
32897004,1184774,1185005
32897004,1186284,1186515
32896998,1187794,1188025
32896928,1189303,1189534
32897008,1190813,1191044
32897008,1192322,1192553
32897010,1193831,1194062
32897008,1195341,1195572
32897012,1196850,1197081
32897012,1198360,1198591
32897014,1199870,1200101
32896912,1201379,1201610
32897016,1202889,1203120
32897016,1204398,1204629
32897018,1205907,1206138
32896904,1207417,1207648
32897020,1208926,1209157
32896908,1210436,1210667
32896902,1211946,1212177
32896896,1213456,1213687
32897024,1214965,1215196
32897024,1216475,1216706
32897026,1217984,1218215
32897024,1219494,1219725
32897028,1221002,1221233
32897028,1222512,1222743
32897030,1224022,1224253
32897024,1225531,1225762
32897032,1227041,1227272
32897032,1228551,1228782
32897034,1230060,1230291
32897032,1231570,1231801
32897036,1233078,1233309
32897036,1234587,1234818
32897038,1236097,1236328
32897024,1237606,1237837
32897040,1239114,1239345
32897040,1240624,1240855
32897042,1242133,1242364
32897040,1243643,1243874
32897044,1245152,1245383
32897044,1246661,1246892
32897046,1248171,1248402
32897040,1249681,1249912
32897048,1251190,1251421
32897048,1252700,1252931
32897050,1254209,1254440
32897048,1255719,1255950
32897052,1257229,1257460
32897036,1258738,1258969
32897054,1260248,1260479
32897024,1261757,1261988
32897056,1263266,1263497
32897056,1264776,1265007
32897058,1266286,1266517
32897056,1267795,1268026
32897060,1269304,1269535
32897060,1270813,1271044
32897062,1272323,1272554
32897056,1273833,1274064
32897064,1275342,1275573
32897064,1276852,1277083
32897066,1278361,1278592
32897064,1279870,1280101
32897068,1281380,1281611
32897068,1282890,1283121
32897062,1284399,1284630
32897056,1285909,1286140
32897072,1287418,1287649
32897072,1288928,1289159
32897074,1290438,1290669
32897072,1291947,1292178
32897076,1293457,1293688
32897076,1294966,1295197
32897078,1296475,1296706
32897072,1297985,1298216
32897080,1299495,1299726
32897080,1301003,1301234
32897082,1302513,1302744
32897048,1304022,1304253
32897084,1305532,1305763
32897036,1307042,1307273
32897038,1308551,1308782
32897024,1310061,1310292
32897088,1311570,1311801
32897088,1313079,1313310
32897090,1314589,1314820
32897088,1316098,1316329
32897092,1317608,1317839
32897092,1319118,1319349
32897094,1320627,1320858
32897088,1322137,1322368
32897096,1323646,1323877
32897096,1325155,1325386
32897098,1326665,1326896
32897096,1328174,1328405
32897100,1329683,1329914
32897100,1331193,1331424
32897102,1332702,1332933
32897088,1334212,1334443
32897104,1335721,1335952
32897104,1337231,1337462
32897106,1338741,1338972
32897104,1340250,1340481
32897108,1341759,1341990
32897108,1343269,1343500
32897110,1344778,1345009
32897088,1346289,1346520
32897112,1347798,1348029
32897112,1349307,1349538
32897114,1350817,1351048
32897096,1352326,1352557
32897116,1353836,1354067
32897100,1355346,1355577
32897092,1356854,1357085
32897024,1358364,1358595
32897120,1359874,1360105
32897120,1361383,1361614
32897122,1362893,1363124
32897120,1364402,1364633
32897124,1365912,1366143
32897124,1367422,1367653
32897126,1368931,1369162
32897120,1370440,1370671
32897128,1371950,1372181
32897128,1373459,1373690
32897128,1374970,1375201
32897128,1376479,1376710
32897132,1377988,1378219
32897132,1379498,1379729
32897126,1381007,1381238
32897024,1382517,1382748
32897136,1384027,1384258
32897136,1385536,1385767
32897138,1387046,1387277
32897136,1388556,1388787
32897140,1390065,1390296
32897140,1391575,1391806
32897142,1393084,1393315
32897072,1394593,1394824
32897144,1396103,1396334
32897144,1397612,1397843
32897146,1399122,1399353
32897040,1400632,1400863
32897148,1402141,1402372
32897040,1403651,1403882
32897030,1405160,1405391
32897024,1406669,1406900
32897152,1408179,1408410
32897152,1409688,1409919
32897154,1411198,1411429
32897152,1412708,1412939
32897156,1414217,1414448
32897156,1415727,1415958
32897158,1417237,1417468
32897152,1418746,1418977
32897160,1420256,1420487
32897160,1421765,1421996
32897162,1423274,1423505
32897160,1424784,1425015
32897164,1426293,1426524
32897164,1427803,1428034
32897166,1429313,1429544
32897152,1430821,1431052
32897168,1432331,1432562
32897168,1433840,1434071
32897170,1435350,1435581
32897168,1436860,1437091
32897172,1438368,1438599
32897172,1439878,1440109
32897174,1441388,1441619
32897168,1442897,1443128
32897176,1444407,1444638
32897176,1445916,1446147
32897178,1447426,1447657
32897168,1448936,1449167
32897180,1450445,1450676
32897164,1451954,1452185
32897166,1453464,1453695
32897152,1454973,1455204
32897184,1456482,1456713
32897184,1457992,1458223
32897186,1459501,1459732
32897184,1461010,1461241
32897188,1462519,1462750
32897188,1464028,1464259
32897190,1465538,1465769
32897184,1467046,1467277
32897192,1468555,1468786
32897192,1470065,1470296
32897194,1471574,1471805
32897184,1473084,1473315
32897196,1474592,1474823
32897196,1476102,1476333
32897184,1477610,1477841
32897184,1479119,1479350
32897200,1480628,1480859
32897200,1482137,1482368
32897202,1483646,1483877
32897200,1485156,1485387
32897204,1486664,1486895
32897204,1488174,1488405
32897206,1489683,1489914
32897200,1491193,1491424
32897208,1492702,1492933
32897208,1494211,1494442
32897210,1495720,1495951
32897160,1497229,1497460
32897212,1498738,1498969
32897164,1500247,1500478
32897166,1501756,1501987
32897152,1503265,1503496
32897216,1504775,1505006
32897216,1506284,1506515
32897218,1507794,1508025
32897216,1509303,1509534
32897220,1510812,1511043
32897220,1512321,1512552
32897222,1513830,1514061
32897216,1515340,1515571
32897224,1516849,1517080
32897224,1518358,1518589
32897226,1519868,1520099
32897224,1521377,1521608
32897228,1522887,1523118
32897228,1524396,1524627
32897230,1525906,1526137
32897216,1527415,1527646
32897232,1528924,1529155
32897232,1530433,1530664
32897234,1531943,1532174
32897232,1533452,1533683
32897236,1534961,1535192
32897232,1536471,1536702
32897238,1537980,1538211
32897232,1539489,1539720
32897240,1540999,1541230
32897240,1542508,1542739
32897242,1544018,1544249
32897224,1545526,1545757
32897244,1547036,1547267
32897220,1548544,1548775
32897230,1550054,1550285
32897152,1551564,1551795
32897248,1553072,1553303
32897248,1554582,1554813
32897250,1556091,1556322
32897248,1557601,1557832
32897252,1559110,1559341
32897252,1560619,1560850
32897254,1562128,1562359
32897248,1563637,1563868
32897256,1565147,1565378
32897256,1566657,1566888
32897258,1568166,1568397
32897256,1569675,1569906
32897260,1571184,1571415
32897260,1572694,1572925
32897254,1574203,1574434
32897152,1575713,1575944
32897264,1577222,1577453
32897264,1578732,1578963
32897266,1580241,1580472
32897264,1581751,1581982
32897268,1583260,1583491
32897268,1584770,1585001
32897268,1586278,1586509
32897200,1587788,1588019
32897272,1589297,1589528
32897272,1590807,1591038
32897274,1592316,1592547
32897160,1593825,1594056
32897276,1595335,1595566
32897164,1596844,1597075
32897152,1598353,1598584
32897152,1599862,1600093
32897280,1601372,1601603
32897280,1602882,1603113
32897282,1604391,1604622
32897280,1605900,1606131
32897284,1607410,1607641
32897284,1608919,1609150
32897286,1610429,1610660
32897280,1611938,1612169
32897288,1613447,1613678
32897288,1614957,1615188
32897290,1616466,1616697
32897280,1617976,1618207
32897292,1619485,1619716
32897292,1620995,1621226
32897286,1622504,1622735
32897280,1624014,1624245
32897296,1625523,1625754
32897296,1627032,1627263
32897298,1628542,1628773
32897296,1630051,1630282
32897300,1631560,1631791
32897300,1633070,1633301
32897302,1634579,1634810
32897296,1636089,1636320
32897304,1637598,1637829
32897304,1639107,1639338
32897306,1640617,1640848
32897288,1642126,1642357
32897308,1643636,1643867
32897308,1645146,1645377
32897294,1646655,1646886
32897280,1648164,1648395
32897312,1649673,1649904
32897312,1651182,1651413
32897314,1652692,1652923
32897312,1654201,1654432
32897316,1655711,1655942
32897312,1657221,1657452
32897318,1658730,1658961
32897312,1660240,1660471
32897320,1661749,1661980
32897320,1663258,1663489
32897322,1664768,1664999
32897320,1666277,1666508
32897324,1667787,1668018
32897324,1669295,1669526
32897326,1670805,1671036
32897312,1672314,1672545
32897328,1673824,1674055
32897328,1675333,1675564
32897330,1676843,1677074
32897328,1678352,1678583
32897332,1679861,1680092
32897332,1681371,1681602
32897334,1682881,1683112
32897328,1684390,1684621
32897336,1685899,1686130
32897336,1687408,1687639
32897338,1688918,1689149
32897296,1690428,1690659
32897340,1691937,1692168
